iter	Passed	Remaining
0	154	46133
1	155	23216
2	157	15596
3	158	11733
4	159	9435
5	161	7895
6	162	6796
7	163	5969
8	165	5336
9	166	4825
10	167	4396
11	168	4045
12	169	3748
13	171	3494
14	172	3273
15	173	3087
16	175	2916
17	176	2762
18	177	2626
19	178	2504
20	180	2393
21	181	2298
22	183	2205
23	184	2119
24	185	2040
25	186	1969
26	187	1897
27	189	1839
28	190	1779
29	191	1725
30	192	1674
31	193	1623
32	194	1574
33	195	1531
34	197	1496
35	198	1459
36	200	1423
37	201	1389
38	202	1357
39	204	1327
40	205	1300
41	207	1272
42	208	1245
43	209	1220
44	210	1195
45	211	1167
46	212	1145
47	214	1124
48	215	1103
49	215	1079
50	217	1060
51	218	1041
52	219	1023
53	221	1008
54	222	992
55	224	976
56	225	960
57	226	945
58	227	930
59	229	917
60	230	904
61	231	890
62	233	877
63	234	864
64	235	851
65	237	841
66	238	829
67	239	818
68	241	807
69	242	796
70	244	787
71	245	777
72	246	767
73	247	757
74	249	747
75	250	737
76	251	729
77	253	720
78	254	711
79	255	703
80	256	694
81	258	686
82	259	677
83	260	670
84	262	663
85	263	655
86	264	647
87	265	640
88	267	633
89	268	627
90	270	620
91	271	613
92	272	606
93	273	599
94	274	592
95	275	586
96	277	580
97	278	574
98	279	567
99	280	561
100	281	555
101	283	549
102	284	544
103	285	538
104	287	533
105	288	527
106	289	522
107	290	516
108	292	511
109	293	506
110	294	501
111	295	495
112	296	490
113	297	485
114	298	480
115	300	476
116	301	472
117	303	467
118	304	462
119	305	458
120	306	453
121	307	449
122	309	444
123	310	440
124	311	436
125	313	432
126	314	428
127	315	424
128	317	420
129	318	416
130	319	412
131	320	408
132	321	404
133	323	400
134	324	396
135	325	392
136	326	388
137	328	385
138	329	381
139	330	377
140	331	374
141	333	370
142	334	367
143	335	363
144	337	360
145	338	356
146	339	353
147	341	350
148	342	347
149	344	344
150	345	341
151	347	338
152	349	335
153	350	332
154	352	329
155	354	326
156	355	324
157	357	321
158	358	318
159	360	315
160	361	312
161	363	309
162	364	306
163	366	303
164	367	300
165	369	297
166	370	295
167	372	292
168	373	289
169	375	286
170	376	284
171	378	281
172	379	278
173	381	276
174	382	273
175	384	270
176	385	268
177	387	265
178	388	262
179	390	260
180	391	257
181	393	254
182	394	252
183	395	249
184	397	246
185	398	244
186	399	241
187	400	238
188	402	236
189	403	233
190	404	231
191	406	228
192	407	225
193	408	223
194	410	221
195	411	218
196	413	216
197	414	213
198	415	211
199	417	208
200	417	205
201	419	203
202	420	200
203	422	198
204	423	196
205	424	193
206	426	191
207	427	189
208	429	186
209	430	184
210	431	182
211	432	179
212	434	177
213	435	174
214	436	172
215	438	170
216	439	168
217	440	165
218	442	163
219	443	161
220	444	159
221	446	156
222	447	154
223	448	152
224	449	149
225	451	147
226	452	145
227	453	143
228	454	141
229	456	138
230	457	136
231	459	134
232	460	132
233	461	130
234	462	127
235	463	125
236	465	123
237	466	121
238	467	119
239	468	117
240	470	115
241	471	112
242	472	110
243	474	108
244	475	106
245	476	104
246	477	102
247	479	100
248	480	98
249	482	96
250	483	94
251	484	92
252	485	90
253	487	88
254	488	86
255	489	84
256	491	82
257	491	80
258	492	78
259	494	76
260	495	74
261	496	72
262	498	70
263	499	68
264	500	66
265	501	64
266	503	62
267	504	60
268	505	58
269	507	56
270	508	54
271	509	52
272	510	50
273	511	48
274	513	46
275	514	44
276	516	42
277	517	40
278	518	39
279	519	37
280	521	35
281	522	33
282	523	31
283	524	29
284	526	27
285	527	25
286	528	23
287	530	22
288	531	20
289	532	18
290	533	16
291	534	14
292	535	12
293	537	10
294	538	9
295	538	7
296	540	5
297	541	3
298	542	1
299	543	0
